Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Italy;China;Export;  All Products;Export (US$ Thousand);2285556,992;2694704,128;2868643,584;2528461,312;2055080,96;1933024,116;2154579,035;2901082,752;3751878,662;4299700,445;5450971,386;5658289,562;7070766,604;8585844,822;9410932,749;9205866,66;11370047,32;13859845,23;11567293,56;13068832,01;13931560,64;11542515,43;12234172,74;15239908,44;15513610,18;14519417,71
Italy;Christmas Island;Export;  All Products;Export (US$ Thousand);;;;;;;;;16,308;11,308;12,416;11,799;278,919;53,54;51,214;;;;;471,603;;;;;;2,798802725
Italy;Cocos (Keeling) Islands;Export;  All Products;Export (US$ Thousand);351,393;;288,952;250,953;174,917;453,759;;;136,292;;10,171;7,436;49,88;;5,421;;;;25,781;12,303;43,254;70,39924725;;18,23100578;;46,91129223
Italy;Colombia;Export;  All Products;Export (US$ Thousand);311087,328;350152,832;434134,816;388489,056;368900,96;204157,11;210671,238;269089,031;254455,363;266099,65;283132,64;311342,259;388517,811;486126,596;585835,85;428730,031;559960,161;860396,992;816978,59;812483,848;951838,146;710173,808;642255,104;665368,2109;713993,3352;749276,6531
Italy;Comoros;Export;  All Products;Export (US$ Thousand);1609,927;774,312;1845,657;1827,196;2902,068;2423,12;798,707;861,557;1131,764;1268,092;5247,81;4486,295;5389,593;1391,939;10968,696;811,898;1780,49;1628,217;1769,829;2237,067;950,548;742,8567145;954,4783746;2856,341927;2877,449777;2424,348669
Italy;Congo, Dem. Rep.;Export;  All Products;Export (US$ Thousand);19770,638;38290,664;39000,844;22116,708;13779,447;8833,386;8758,178;14979,098;19243,901;26329,27;24367,742;33253,186;49206,716;72607,621;91491,791;122136,318;62409,085;108917,927;78577,826;89497,99;89310,863;54378,01247;47544,79851;38918,1967;76996,39039;71409,12964
Italy;Congo, Rep.;Export;  All Products;Export (US$ Thousand);62315,596;89965,464;40908,376;134865,792;55358,44;49915,244;59159,757;102819,953;86071,6;73001,974;83856,458;95459,448;101649,357;337378,895;169733,577;293238,743;241228,589;292774,339;189551,883;256352,256;409585,321;212144,2553;147257,4505;104437,5922;94738,90373;100437,6073
Italy;Cook Islands;Export;  All Products;Export (US$ Thousand);314,598;;77,052;138,388;181,32;30,423;;;114,467;554,763;59,927;540,11;65,803;68,631;147,635;10560,809;68,081;130,123;49,716;13933,904;51,936;2748,173342;24367,49423;8682,160605;6289,22185;24655,32044
Italy;Costa Rica;Export;  All Products;Export (US$ Thousand);59733,908;64473,044;66026,152;71368,48;80328,912;76981,973;79945,007;84693,025;92948,957;109837,288;86614,338;89175,968;99341,061;134069,693;134572,325;96094,973;110088,373;145522,742;128027,055;157366,234;181084,444;151628,4504;161850,6754;167708,8322;168507,2206;150597,6065
Italy;Cote d'Ivoire;Export;  All Products;Export (US$ Thousand);60645,536;109546,936;132818,784;126337,936;165403,744;147452,307;94049,232;113525,786;113778,296;112237,026;120735,414;137635,408;108412,802;136070,325;146747,622;122749,096;152842,263;142214,692;168084,995;168102,449;268390,955;356879,9233;199987,5264;189760,9262;227798,1363;204298,5489
Italy;Croatia;Export;  All Products;Export (US$ Thousand);1372371,456;1675091,072;1667888,896;1759257,344;1499776,768;1278947,889;1314439,166;1508709,755;1938560,448;2402313,656;2738192,288;2888045,222;3397475,426;3836211,188;4584614,838;3142013,397;2741349,74;3151440,235;2539522,333;2658080,959;3453959,399;2886757,986;2853647,085;3433247,093;3798961,555;4274216,727
Italy;Cuba;Export;  All Products;Export (US$ Thousand);62754,504;81548,84;112636,736;121690,616;192185,232;209693,965;247916,641;250260,258;234632,324;262850,63;223285,932;246420,907;353450,046;309442,163;432603,267;258788,099;244334,67;317393,553;317649,243;355576,936;305172,483;367607,7144;345736,4449;329005,395;325328,0071;329772,321
Italy;Curaçao;Export;  All Products;Export (US$ Thousand);;;;;;;;;;;;;;;;;;37243,861;27646,12;9033,75;6914,239;6905,938918;5929,187094;5802,496639;9439,542627;7161,514839
Italy;Cyprus;Export;  All Products;Export (US$ Thousand);305501,632;366346,592;361904,768;328227,712;351565,888;326497,185;379309,039;341475,676;364919,75;494942,003;801410,392;895086,21;1039615,89;1164707,534;1616778,2;1029145,915;1016296,947;929914,668;727564,289;565768,746;585514,9;556323,1223;558205,6848;766248,0996;1078606,54;1271084,048
Italy;Czech Republic;Export;  All Products;Export (US$ Thousand);859103,872;1327730,432;1740789,248;1510388,096;1455479,68;1404704,352;1538057,992;1895134,658;2022302,943;2817681,378;3360555,813;3583477,901;4135963,649;5298971,429;5881538,247;4116194,617;4659692,725;5711356,003;5432430,394;5652017,685;6219256,164;5602071,709;5926947,322;6732985,172;7624951,896;7355350,039
Italy;Denmark;Export;  All Products;Export (US$ Thousand);1592091,008;2003809,152;2132918,528;1967947,904;2030220,288;2004455,136;1878149,477;1928201,529;1962103,672;2217900,761;2660071,4;3250348,195;3313991,387;3932721,458;3965619,357;2574954,377;2750344,996;3247262,752;3137476,311;3198282,324;3496272,418;2851725,927;3062648,992;3325380,586;3480015,932;3295030,202
Italy;Djibouti;Export;  All Products;Export (US$ Thousand);21953,868;22021,054;25394,56;25386,152;41908,86;22289,972;33546,181;21403,624;16210,834;16179,516;16308,532;17471,922;26291,183;26117,784;26754,37;22062,61;19264,921;23765,872;17632,822;22038,372;27799,696;38834,53374;32928,06278;27832,74302;21047,63415;29022,26882
Italy;Dominica;Export;  All Products;Export (US$ Thousand);2845,072;3936,313;2808,247;1591,826;1546,898;1675,23;1661,538;1991,383;1190,83;788,535;1878,856;1739,571;3272,581;2296,096;2605,499;975,519;1484,84;1037,595;523,542;822,594;924,684;718,6154747;9681,810361;2420,312896;9701,152284;27100,52803
Italy;Dominican Republic;Export;  All Products;Export (US$ Thousand);76790,648;71275,456;82353,312;101318,576;112009,936;101936,882;122551,153;130467,648;134898,387;105177,607;160632,562;150205,98;161772,519;185403,209;202553,479;188125,058;183850,432;205124,357;318750,152;226776,664;228904,252;279817,4499;380014,6653;339670,0623;375213,2552;389854,19
Italy;East Timor;Export;  All Products;Export (US$ Thousand);;;;;;;;;1391,867;499,617;52,18;222,972;332,227;1364,961;638,66;356,284;978,892;54315,468;75313,326;694,328;128,064;408,3954443;163,427506;577,1735772;263,8255262;75,95502787
Italy;Ecuador;Export;  All Products;Export (US$ Thousand);96874,552;119537,632;114346,648;152147,92;162229,968;62085,06;67539,396;113297,729;138724,649;107971,097;110989,087;118575,385;146862,181;201407,861;212866,113;190835,474;255194,267;285009,1;270836,966;292809,716;287736,282;294216,661;221880,3716;262168,4614;284428,6405;251989,5999
Italy;Egypt, Arab Rep.;Export;  All Products;Export (US$ Thousand);1348353,536;1204235,776;1430213,504;1428876,288;1598630,528;1575852,591;1397416,845;1314715,167;1113045,244;1333876,675;1654188,533;1699861,32;1911706,383;2924713,278;4248066,399;3609788,715;3867245,409;3595750,31;3677232,008;3756369,068;3622764,865;3270719,284;3417105,338;3294184,689;3171657,642;2707346,423
Italy;El Salvador;Export;  All Products;Export (US$ Thousand);33914,392;34653,592;41154,58;45457,472;44826,344;36279,368;40487,54;44391,632;37745,564;51505,409;34851,32;41005,954;63655,735;48869,693;61029,531;54112,891;45774,879;46116,613;39961,788;51630,606;53248,577;60960,37534;68303,69878;61517,04686;61065,18764;88094,05774
Italy;Equatorial Guinea;Export;  All Products;Export (US$ Thousand);12722,897;3022,785;7026,496;10135,431;6127,54;20736,383;10139,7;23492,027;16476,231;56565,841;34392,741;212463,919;71893,231;79914,955;86549,657;87645,018;128092,497;148081,663;124375,932;138297,267;93048,728;44736,48583;24852,85086;32584,69716;31784,02281;60496,15896
Italy;Eritrea;Export;  All Products;Export (US$ Thousand);;28319,518;49753,124;76052,76;58564,448;44533,219;30783,033;38663,506;49627,909;41846,884;48124,036;81920,742;38224,97;36289,154;37504,927;39717,928;25026,725;34590,31;53402,067;36286,396;17014,284;19319,45226;18114,04785;31885,96132;21191,41629;25145,38072
Italy;Estonia;Export;  All Products;Export (US$ Thousand);30656,14;55122,128;78237,008;99610,624;117921,928;99116,569;107515,993;147411,133;204993,656;191374,14;229935,78;280166,316;427189,628;537332,813;532730,793;282933,772;391150,63;523110,113;522431,434;544700,219;533064,909;427171,9244;454845,8571;515874,3996;561492,3367;534701,3506
Italy;Eswatini;Export;  All Products;Export (US$ Thousand);;;;;;;3395,643;1665,736;4164,87;3499,658;3644,569;4382,393;4369,154;5715,823;4542,084;3260,525;1543,068;922,172;3546,887;2814,148;2258,172;6809,006105;15829,13426;10241,75785;10143,77305;11512,91195
Italy;Ethiopia(excludes Eritrea);Export;  All Products;Export (US$ Thousand);161829,12;200678,592;158507,072;131366;121644;109387,422;106862,821;104796,714;92687,748;97087,326;111404,595;182316,693;193695,858;246071,185;268174,86;211139,324;194881,619;283190,178;338409,772;362003,157;349630,033;340202,141;359118,3058;313049,1094;275638,6583;228615,4191
Italy;Faeroe Islands;Export;  All Products;Export (US$ Thousand);348,573;793,611;325,415;608,36;1210,958;720,396;914,789;710,999;1298,687;1507,275;6415,132;1420,481;10441,281;2378,847;17406,25;1153,263;1980,824;1116,594;1936,832;1288,245;1988,028;14632,65702;17100,76633;4589,304327;4498,439068;4320,327046
Italy;Falkland Island;Export;  All Products;Export (US$ Thousand);3358,709;2192,108;3998,154;4729,168;3816,079;4977,193;4197,061;4977,612;7577,321;1659,514;135,139;3,182;37,989;41,607;1,81;67,783;2,636;61,046;3,127;3,116;27,049;421,5619103;202,1276439;85,82899015;2,778404559;4,216116425
Italy;Fiji;Export;  All Products;Export (US$ Thousand);1627,505;2258,763;2828,541;1486,982;1966,68;2148,925;1265,414;1516,605;2557,897;2379,627;2921,525;7469,263;4211,008;4784,074;5627,132;9868,151;3970,174;2809,314;4176,398;5172,47;9358,106;8099,061503;19073,95444;7456,598867;8064,369459;6212,113935
Italy;Finland;Export;  All Products;Export (US$ Thousand);758606,976;1050393,28;1212055,424;1209333,76;1261377,792;1152302,26;1071999,28;1164087,081;1341888,746;1479869,149;1784380,58;1918084,776;2015990,494;2707489,115;2500172,142;1661198,858;1887198,642;2143111,312;2139339,447;1942384,451;1888128,176;1590491,394;1717455,702;1807014,458;2037170,229;1964153,664
Italy;Fm Sudan;Export;  All Products;Export (US$ Thousand);40174,72;32327,338;34586,468;47128,552;44498,696;54059,804;41213,845;45188,579;69245,716;83199,38;143202,424;265282,131;227985,02;232814,032;376871,97;228464,296;206666,276;192419,809;;;;;;;;
Italy;Fr. So. Ant. Tr;Export;  All Products;Export (US$ Thousand);;;;;;;;;;;2,541;4,638;17,055;;70,493;;68,374;262,093;280,905;238,538;148,741;1,14172925;104,9673611;298,8264766;3,791204519;61,72591482
Italy;France;Export;  All Products;Export (US$ Thousand);24851603,46;30010503,17;32041424,9;29010534,4;30901577,73;30766278,76;30329301,13;29892148,43;30961568,02;37036166,74;43461580,07;45521829,81;48841489,34;57201160,14;60474823,49;46923737,23;51724538,44;60240176,56;55577459,3;56148068,71;55781498,79;47291424,04;48692317,11;52348142,43;57500671,67;56604054,13
Italy;Free Zones;Export;  All Products;Export (US$ Thousand);68222,976;20245,272;136936,08;67992,048;68134,408;73618,856;;;;;;;;;;;;;;;;;;;;
Italy;French Guiana;Export;  All Products;Export (US$ Thousand);55152,128;83621,16;;;;;;;;;;;;;;;;;;;;;;;;
Italy;French Polynesia;Export;  All Products;Export (US$ Thousand);16624,477;20731,172;23053,782;23312,674;23179,208;19071,487;21747,945;23192,154;23733,636;29489,968;28943,373;32112,813;29678,146;28980,039;50269,676;25629,159;24125,548;25922,378;22585,183;35107,781;24457,27;22023,2855;23050,43373;24664,86398;30543,6194;33651,94641
Italy;Gabon;Export;  All Products;Export (US$ Thousand);23374,12;23351,696;28026,15;35031,576;41514,444;36574,778;24680,758;27775,896;34959,921;32703,753;41936,986;44645,178;54189,226;58690,072;78404,291;69844,73;86925,023;128176,384;134303,993;128807,886;123098,082;71292,30565;49647,74057;47625,06452;55381,164;49153,66163
Italy;Gambia, The;Export;  All Products;Export (US$ Thousand);6317,972;7356,682;8963,122;6823,618;7795,197;7369,57;7109,888;9460,458;10776,593;12698,162;8024,76;6994,09;7706,269;4560,736;8688,774;6964,856;5443,799;12355,537;5336,51;9894,933;6112,413;6081,975088;3803,549625;4247,569004;5881,909633;4988,146005
