Reporter Name;Partner Name;Trade Flow;Indicator;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Italy;Ecuador;Export;Export Share in Total Products (%);19,432;19,804;20,1742;21,7157;22,8198;18,4462;19,4421;22,0576;22,8078;22,6956;22,1659;22,1028;23,4812;27,6184;23,8359;23,4862;24,2283;25,5107;27,2585;26,8041;26,9231;26,4996;26,5324;28,6839;30,533;30,7484
Italy;Egypt, Arab Rep.;Export;Export Share in Total Products (%);47,3846;48,6729;50,7775;52,7352;53,1354;51,3295;52,3314;51,4399;50,6324;49,7574;50,7916;52,9709;53,7734;56,1485;57,051;57,7916;58,7608;56,3943;57,4911;57,3286;58,6762;59,624;58,2103;58,1102;57,972;58,7836
Italy;El Salvador;Export;Export Share in Total Products (%);8,6637;8,8812;10,1597;10,1533;11,2542;10,9057;11,6361;12,9382;12,247;12,1915;13,0462;11,7362;12,4869;10,9851;9,7118;9,9065;10,4375;11,4565;11,8739;12,0798;12,254;13,3393;13,2438;13,4758;14,6341;13,9724
Italy;Equatorial Guinea;Export;Export Share in Total Products (%);1,6551;2,6337;4,209;5,4289;4,6512;6,1695;4,1216;4,4866;6,0076;6,5387;6,3542;8,7442;10,9733;10,0956;9,4013;10,0178;11,1481;10,6572;10,8229;10,9592;10,1521;8,3483;6,1521;4,6344;5,4426;4,9288
Italy;Eritrea;Export;Export Share in Total Products (%);;11,6578;15,7578;17,8201;16,6736;15,4965;13,7386;17,4457;16,8212;14,5539;13,1518;11,1041;9,733;9,3173;9,1131;8,3259;8,2834;8,8366;8,0725;7,6199;6,7084;5,4387;5,4586;4,9719;5,3749;5,4262
Italy;Estonia;Export;Export Share in Total Products (%);11,0544;15,8024;17,7483;20,6175;24,8131;26,2775;29,4754;30,3631;32,5885;33,6427;43,3397;45,6806;47,8453;51,3453;51,1308;50,512;53,3644;55,1954;56,5966;58,1802;59,347;60,3626;61,7226;63,2396;63,0307;63,5541
Italy;Eswatini;Export;Export Share in Total Products (%);;;;;;;1,0824;1,2312;0,7799;1,1179;0,9922;0,885;1,0301;0,845;0,4435;0,3339;0,533;0,7993;0,7826;0,6723;0,9168;0,9848;0,962;1,0799;1,0614;1,1531
Italy;Ethiopia(excludes Eritrea);Export;Export Share in Total Products (%);28,0956;25,6635;25,2125;23,6635;22,5291;21,022;20,2123;21,2229;19,6037;18,9622;19,5271;20,5858;23,2499;24,5275;22,4612;19,6794;21,3191;23,468;25,7156;26,7593;26,1852;26,9248;26,7562;26,6592;26,3324;25,2996
Italy;Faeroe Islands;Export;Export Share in Total Products (%);0,4904;0,9392;0,8708;1,5334;1,4743;1,371;1,4779;1,586;1,9815;2,046;2,0688;1,7699;2,2703;2,1348;1,9956;1,4915;1,7988;1,643;1,7218;1,7257;2,1914;2,2381;2,9978;3,1721;3,1391;2,6679
Italy;Falkland Island;Export;Export Share in Total Products (%);0,1839;0,6737;0,2488;0,3108;0,2699;0,2285;0,1457;0,1043;0,0843;0,1055;0,4433;0,0421;0,0841;0,0889;0,0222;0,0223;0,0222;0,0888;0,0224;0,0224;0,1118;0,1567;0,1119;0,135;0,0226;0,0226
