Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Italy;China;Import;  All Products;Import (US$ Thousand);3128267,008;3919330,56;4032505,088;4416954,368;4843814,912;5316570,922;6460578,694;6675752,417;7832903,206;10787435,89;14699243,95;17574867,57;22465431,49;29713143,65;34637287,88;26914449,8;38133067,29;41131342,22;32162562,49;30634044,33;33305149,27;31315521,59;30251449,14;32153345,58;36510901,43;35449437,14
Italy;Christmas Island;Import;  All Products;Import (US$ Thousand);;;;;;;;;41,463;;;2,004;93,594;297,11;48,441;;18,062;;11,426;;25,782;2,394793026;14,82716673;12,4974841;10,07656415;
Italy;Cocos (Keeling) Islands;Import;  All Products;Import (US$ Thousand);93,288;;7,908;61,487;;24,186;;;;;4,225;;2,848;28,302;63,823;;26,914;;1,385;;;;4,724824971;8,343330329;;1,200211575
Italy;Colombia;Import;  All Products;Import (US$ Thousand);168138,032;192640;241147,248;269384,16;334283,584;235960,854;288431,944;267975,171;320430,639;403979,806;560583,135;637267,1;616081,921;761290,343;799067,561;611350,216;692737,315;774297,103;655060,326;761547,342;1290410,578;816153,1656;620118,458;707918,0438;780672,6448;1009910,389
Italy;Comoros;Import;  All Products;Import (US$ Thousand);516,633;;94,687;105,41;;13,06;64,979;75,436;412,513;3,969;384,796;129,85;4711,351;1264,925;;2059,368;183,606;239,432;237,687;235,578;238,829;238,6740132;430,4922884;93,07586583;191,3152427;
Italy;Congo, Dem. Rep.;Import;  All Products;Import (US$ Thousand);94804,128;;81084,68;53014,904;46523,92;37453,645;28138,573;22803,586;12516,915;11875,981;15256,329;19650,275;25537,82;31180,252;19597,415;13477,781;85038,922;22823,703;124152,658;694133,48;609903,54;86747,27106;168088,9682;263891,6988;241265,8232;288849,8693
Italy;Congo, Rep.;Import;  All Products;Import (US$ Thousand);210630,08;221024,464;269401,44;97578,656;84631,728;43903,248;62218,988;57542,361;62787,925;33368,897;64718,062;32149,744;151133,085;41030,44;56044,973;43168,688;194978,77;537101,619;315055,425;297221,456;873395,577;1084724,924;779992,251;532235,2767;454383,2602;515216,2481
Italy;Cook Islands;Import;  All Products;Import (US$ Thousand);9,443;;9,007;;;5,598;;;4,091;232,035;31,411;63,624;122,999;208,606;47,799;;164,976;;8,023;411,919;7,184;34,85039467;36,38259041;;3,678389166;3,35880105
Italy;Costa Rica;Import;  All Products;Import (US$ Thousand);106642,328;81083;90309,888;87504,216;86852,552;79924,545;76686,434;85668,633;90832,917;117800,708;126289,121;118845,53;123542,521;162921,122;166633,689;140651,7;154759,206;189446,99;234736,379;241876,578;248418,442;268924,9822;294152,5598;229444,3384;243694,6983;240818,8452
Italy;Cote d'Ivoire;Import;  All Products;Import (US$ Thousand);286552,512;377708,48;301141,888;268853,728;313683,36;238026,563;213493,533;201441,348;197630,716;268816,228;363536,414;274035,359;300379,374;338971,021;436867,781;334667,606;433428,025;346588,674;335377,746;310688,376;339143,99;336560,7655;328628,2104;274779,328;286246,6469;244191,4039
